2017-05-15 12:24:49.633500,(679, 680)
2017-05-15 12:24:49.867480,(477, 713)
2017-05-15 12:24:50.335441,(199, 822)
2017-05-15 12:24:50.585020,(176, 735)
2017-05-15 12:24:50.756606,(155, 719)
2017-05-15 12:24:50.881396,(155, 719)
2017-05-15 12:24:51.021784,(158, 715)
2017-05-15 12:24:51.177771,(158, 715)
2017-05-15 12:24:51.318159,(176, 748)
2017-05-15 12:24:51.442949,(175, 749)
2017-05-15 12:24:51.598936,(173, 749)
2017-05-15 12:24:51.739324,(179, 755)
2017-05-15 12:24:51.895311,(180, 757)
2017-05-15 12:24:52.051298,(180, 757)
2017-05-15 12:24:52.910227,(1224, 0)
2017-05-15 12:24:53.286595,(1565, 403)
2017-05-15 12:24:53.676563,(1637, 808)
2017-05-15 12:24:54.066530,(1508, 979)
2017-05-15 12:24:54.503294,(679, 980)
2017-05-15 12:24:54.846465,(443, 967)
2017-05-15 12:24:55.236433,(198, 939)
2017-05-15 12:24:55.504611,(62, 708)
2017-05-15 12:24:56.254348,(589, 646)
2017-05-15 12:24:56.675513,(533, 399)
2017-05-15 12:24:57.455448,(1014, 402)
2017-05-15 12:24:57.845416,(1068, 625)
2017-05-15 12:24:58.250982,(512, 599)
2017-05-15 12:24:59.030917,(522, 72)
2017-05-15 12:24:59.689062,(1295, 56)
2017-05-15 12:25:00.487596,(147, 90)
2017-05-15 12:25:01.240334,(1516, 50)
2017-05-15 12:25:01.536709,(1524, 283)
2017-05-15 12:25:01.833084,(1515, 458)
2017-05-15 12:25:02.082664,(1519, 678)
2017-05-15 12:25:02.394638,(1518, 862)
2017-05-15 12:25:02.613019,(1444, 969)
2017-05-15 12:25:02.893796,(1076, 974)
2017-05-15 12:25:03.080980,(976, 957)
2017-05-15 12:25:03.799521,(781, 979)
2017-05-15 12:25:03.939909,(603, 969)
2017-05-15 12:25:04.095896,(277, 962)
2017-05-15 12:25:04.251883,(141, 890)
2017-05-15 12:25:04.407870,(127, 805)
2017-05-15 12:25:04.595054,(139, 701)
2017-05-15 12:25:04.782239,(196, 664)
2017-05-15 12:25:05.078614,(538, 622)
2017-05-15 12:25:05.359391,(453, 513)
2017-05-15 12:25:05.749358,(1209, 466)
2017-05-15 12:25:06.155924,(1203, 579)
2017-05-15 12:25:08.028768,(2884, 330)
2017-05-15 12:25:17.120416,(2899, 341)
